생태통로명,위도,경도
왕배산생태통로,37.1710952,127.11794
동탄숲생태통로,37.1871633,127.122831
화석리 생태통로,37.0330327,127.7308066
두룡리 생태통로,36.2759172,126.595133
옥서리 생태통로(2),36.2798478,126.5962514
옥서리 생태통로(1),36.283174,126.5968859
유정리 생태통로,35.4780125,127.5460961
백산리 생태통로,35.3662644,127.1184522
운북리 생태통로,35.4722536,127.0403757
서무리 생태통로,35.4574158,127.5761525
덕동리 생태통로(4),35.3560402,127.5294531
덕동리 생태통로(3),35.3560402,127.5294531
서도리 생태통로,35.4891655,127.3138208
상정리 생태통로(2),35.5022,129.2516616
활천리 생태통로,35.6839091,129.1818123
야천리 생태통로,35.7734133,128.1459665
성기리 생태통로(1),35.7054724,128.0836244
죽림리 생태통로,35.4686039,127.6408445
개명리 생태통로,35.85956,127.8332812
신복리 생태통로,37.5690583,127.4632802
적목리 생태통로(3),37.983053,127.433456
적목리 생태통로(2),37.983053,127.433456
적목리 생태통로(1),37.983053,127.433456
하궁리 생태통로,37.4933555,128.148598
고사리 생태통로,38.022204,128.2263677
상남리 생태통로,37.8624543,128.2199006
한계리 생태통로,38.1219556,128.3101926
갈천리 생태통로,37.9205944,128.5004259
보광리 생태통로,37.7445329,128.7896549
금곡리 생태통로,35.2124005,128.2623247
옥서리 생태통로(3),36.2806077,126.5961856
송내리 생태통로,35.3448817,127.3488916
성기리 생태통로(2),35.7141199,128.0916161
무장리 생태통로,36.8637979,126.4469881
개화동 생태통로,37.5922583,126.8051798
영정리 생태통로,36.5169963,126.9996043
하구암리 생태통로,37.0219101,127.8267888
용전리 생태통로,37.0182929,127.8228028
영평리 생태통로,37.002175,127.8257849
환희리 생태통로,36.6607386,127.3507342
국사리 생태통로,36.6860765,127.3801512
장암동 생태통로,36.5850114,127.4764033
가마리 생태통로,36.5918225,127.4594828
월오동 생태통로,36.6078017,127.5452891
광진리 생태통로,36.8827145,127.948028
노산리 생태통로,36.4694453,127.4539836
현암리 생태통로,36.6485543,127.5567557
덕전리 생태통로,36.8027447,127.2020406
부전동 생태통로,35.5301356,126.9325311
월곡리 생태통로,35.3951197,127.1116333
송천리 생태통로,36.0872285,126.9043111
덕동리 생태통로(1),35.3428518,127.5356403
도림동 생태통로,37.4101784,126.7240118
구룡리 생태통로,34.9588777,127.2663154
진정리 생태통로,34.984917,127.7359793
해밀동 생태통로,36.5293885,127.2651209
한솔동 생태통로(3),36.47545,127.2569518
한솔동 생태통로(2),36.4800911,127.2584826
한솔동 생태통로(1),36.4813348,127.2525526
집현동 생태통로,36.5052522,127.3305853
어진동 생태통로,36.5075048,127.2564553
도담동 생태통로(3),36.5117372,127.2550471
도담동 생태통로(2),36.5188157,127.2561033
도담동 생태통로(1),36.5159659,127.2659494
고운동 생태통로,36.5321583,127.2436954
응암동 생태통로,37.5983631,126.9378129
구산동 생태통로,37.6183604,126.9060692
한남동 생태통로,37.5473929,127.0042546
신정동 생태통로,37.5113076,126.8490835
현저동 생태통로,37.5782865,126.9538777
성산동 생태통로,37.5726654,126.8969117
흑석동 생태통로,37.4987478,126.9596681
사당동 생태통로(2),37.4801313,126.9647767
사당동 생태통로(1),37.4922761,126.963465
대방동 생태통로,37.5063153,126.927424
답십리2동 생태통로,37.5731564,127.0615277
창동 생태통로,37.6441341,127.0440236
방학동 생태통로,37.6573053,127.0189191
우이동 생태통로,37.6618295,127.0164613
상계동 생태통로(2),37.6777829,127.0912621
상계동 생태통로(1),37.6688638,127.062486
시흥동 생태통로,37.4441495,126.9167592
궁동 생태통로,37.5062047,126.8247279
사당동 생태통로(3),37.4759608,126.9706562
신림동 생태통로(2),37.4612556,126.9247522
신림동 생태통로(1),37.4679085,126.9262175
내발산동 생태통로,37.5549434,126.8445806
미아동 생태통로,37.6197149,127.0367531
개포동 생태통로(4),37.4764015,127.0546043
개포동 생태통로(3),37.4872398,127.0617025
개포동 생태통로(2),37.4749911,127.0562788
개포동 생태통로(1),37.4806165,127.0501493
석곡동 생태통로,36.6043567,127.432893
서촌동 생태통로,36.6314541,127.3912693
지족동 생태통로(2),36.3814196,127.306612
지족동 생태통로(1),36.3816443,127.304255
노은동 생태통로(2),36.3699077,127.3073932
노은동 생태통로(1),36.366819,127.3106215
신동 생태통로,36.4721788,127.3669553
구룡동 생태통로,36.4447715,127.371567
중흥리 생태통로(2),36.57213,127.1756054
중흥리 생태통로(1),36.5619393,127.1844092
저산리 생태통로,36.1624484,126.680185
마대리 생태통로,36.16599,126.6850793
태산리 생태통로,36.5499731,127.1969057
삼정리 생태통로(1),35.5089884,129.2444399
대복리 생태통로,35.4776121,129.2238167
율리 생태통로,36.7080634,127.6304693
갈목리 생태통로,36.4990855,127.7908532
문당리 생태통로,36.7396764,127.6653234
주진리 생태통로,36.7539289,128.0293911
녹원리 생태통로,34.5731851,126.9413234
덕동리 생태통로(2),35.3560402,127.5294531
계라리 생태통로,34.5741914,126.7044903
도안동 생태통로,36.3106144,127.3449414
마달령 생태통로,36.3525584,127.5043787
도학동 생태통로,35.9926423,128.7004192
화전리 생태통로,36.126149,128.727305
용대리 생태통로,36.2229985,128.6239132
대흥리 생태통로(5),36.9657523,129.2868202
대흥리 생태통로(4),36.9824977,129.3225455
대흥리 생태통로(3),36.9835576,129.3252203
대흥리 생태통로(2),36.9744251,129.306033
대흥리 생태통로(1),36.9788179,129.3131663
하원리 생태통로(2),36.9541281,129.2602007
하원리 생태통로(1),36.9640976,129.2815367
죽곡리 생태통로,36.0449149,128.9490761
황장리 생태통로,36.4896881,129.1531724
동관리 생태통로,36.4802506,127.9155407
오상리 생태통로,36.4376729,128.2688195
적성리 생태통로,36.7978525,128.3191441
능치리 생태통로,36.2128558,128.0504712
장좌리 생태통로,34.9965834,128.4747723
중동 생태통로,37.2114226,127.1231158
영천동 생태통로,37.210601,127.1061838
유포리 생태통로,37.2499057,126.8377205
남전리 생태통로,37.252278,126.8296944
장전리 생태통로,37.2706152,126.8240249
남양리 생태통로,37.2145353,126.8210991
방축리 생태통로,37.8170393,126.8479169
지곶동 생태통로,37.1756567,127.031498
상중리 생태통로,36.9345269,127.3188919
청량리 생태통로,37.6633969,128.1678296
장현동 생태통로(2),37.3717217,126.8003173
장현동 생태통로(1),37.3798591,126.7976159
장곡동 생태통로,37.3825212,126.7835285
대장동 생태통로(2),37.3695249,127.0652371
대장동 생태통로(1),37.3723966,127.0734465
무사리 생태통로,37.4187453,129.1221124
여담교,37.2968883,127.0586078
갈참나무다리,37.2835417,127.0542898
소나무다리,37.2840055,127.0523437
나비잠자리다리,37.2909493,127.0452742
풍뎅이다리,37.3065454,127.0417618
반딧불이다리,37.2939185,127.0351373
돌마로생태통로,37.4160291,127.1432156
갈마치생태통로,37.4195602,127.1872964
도곡리 생태통로,37.5900547,127.2299451
외방리 생태통로,37.7347825,127.3028453
생태통로(대대터널:개착식),38.39968,128.464726
샛다리 생태통로,37.5916081,127.1281682
갈매생태통로,37.6203244,127.1131821
목동 직동간 터널,37.3910745,127.1942506
-,37.3989765,127.23304
오포터널,37.3496999,127.1671923
밤일생태육교,37.4527028,126.8565607
밤일생태육교,37.4530905,126.8566147
일산생태통로,37.6838435,126.7845261
상천2 생태통로,37.7707863,127.449117
상천1 생태통로,37.7896806,127.4632362
진부령 생태통로,38.2791061,128.3559937
생태육교 생태통로,37.7088017,127.4967611
덕현 생태통로,37.7561306,127.4114892
,37.983053,127.433456
,37.983053,127.433456
,37.983053,127.433456
,37.983053,127.433456
적목리1호,37.983053,127.433456
,37.983053,127.433456
,37.983053,127.433456
,37.983053,127.433456
진부리 생태통로,38.2666866,128.3582243
,37.9418638,127.4923861
도대리 생태통로,37.9306908,127.4903411
중앙선 333.46k,37.488002,127.949638
궁종리,37.5012757,128.1457815
궁종리 생태통로_1,37.4917361,128.15276
정금리 생태통로,37.5080289,128.1143283
삽교리 생태통로1,37.5793585,128.2547612
삽교리 생태통로2,37.5815942,128.2652647
삽교리 생태통로3,37.5820416,128.2681866
마암생태통로,37.5423426,128.2105163
,37.6202924,128.7728054
달거리생태이동통로,38.0610878,127.6440357
실내2 생태이동통로_2,38.1774663,127.5405642
실내1 생태이동통로,38.1774663,127.5405642
서울양양선 85.43k,37.7545825,128.0428227
,37.7576492,128.0158773
생곡리2호,37.694464,128.2708307
생곡리1호,37.694464,128.2708307
생곡리3호,37.694464,128.2708307
개야생태이동통로,37.6910021,127.6344916
서울양양선 70.31k,37.758945,127.8750466
무사리 생태이동통로,37.577219,128.8525457
,37.7101896,127.8042036
서울양양선 93.84k,37.7883193,128.1239744
자운리 생태통로,37.7222618,128.3834742
평택제천선 84.47k,37.0319774,127.7294427
평택제천선 78.47k,37.0093241,127.6789624
지릅재,36.8243795,128.0843265
신당리,36.9204565,128.0562639
,36.5763811,127.3780886
,36.5786683,127.3755275
,36.6531259,127.5129597
,36.7682326,127.4739841
,36.7128278,127.4259868
명개리 생태통로,37.8493492,128.53165
,36.7131129,127.4207604
,36.7169654,127.4168355
각리,36.7102585,127.428116
,36.6223964,127.4675738
,36.6146317,127.4809943
,36.6147964,127.4572127
성화2 생태교량,36.6127348,127.4507335
,36.6250457,127.476789
,36.6734926,127.6677363
,36.604575,127.5475703
월정사,37.7594062,128.5710184
,36.5665242,127.4833295
평택제천선 55.89k,36.945024,127.4526682
평택제천선 70.17k,36.9768927,127.5988937
지오생태통로,36.3268911,127.5751677
증약생태통로,36.3398016,127.5062924
청주상주선 19.58k(애곡육교),36.4817377,127.6143211
청주상주선  19.42k,36.4821993,127.613898
,36.4600171,127.7592843
청주상주선 24.55k,36.472521,127.6689382
청주상주선 28.41k,36.4598719,127.7079992
진고개 생태통로,37.7524716,128.610903
청주상주선 41.10k(갈평육교),36.4549302,127.8476142
,36.3717679,127.8423818
용부원리2,36.9097484,128.4124068
용부원리3,36.9097484,128.4124068
용부원리,36.9097484,128.4124068
죽령,36.9097484,128.4124068
방곡리,36.8089288,128.3550978
장회리,36.9305411,128.237742
가산리,36.8980923,128.3056254
가산리2,36.8969634,128.3058689
병내리 생태통로,37.7503291,128.6550863
가대리,37.036806,128.4093754
사담리,36.6150043,127.8119128
이곡리,36.7795149,127.7126714
,36.8265236,127.6596641
,36.8146104,127.7938121
구항생태통로,36.5867723,126.6327084
옥암생태통로,36.5856704,126.6328119
구룡생태통로,36.5824825,126.6950079
월계생태통로,36.5409021,126.7353356
,36.8413316,126.20562
용산리 생태통로,37.9581804,127.7172542
,36.515401,126.3538126
온천통문,36.3963386,126.9046619
,36.4319696,127.0136068
,36.8834036,127.2713465
중로1-44호,36.8066222,127.1135122
대로3-1호,36.8074647,127.1147283
풍세동물이동통로,36.7545162,127.135233
,36.7877194,127.1590397
,36.7851334,127.1579898
소로1-194호,36.8040413,127.1873331
지내리 생태통로,37.9105805,127.7716687
중로 1-21호,36.7921545,127.1355687
장산1생태통로,36.7427796,127.2958513
장산3생태통로,36.7427796,127.2958513
장산2생태통로,36.7427796,127.2958513
화성생태통로,36.7533972,127.2792745
신양생태통로,36.5982147,126.8835334
용두생태터널,36.8173802,127.0488969
송촌생태통로,36.8540814,127.038309
각흘고개,36.6520357,126.9825703
연화생태통로,36.7861982,127.0965087
학곡리 생태통로,37.8166471,127.7583363
,37.8252325,128.6559552
용곡생태통로,36.7914394,127.093482
진장생태통로,36.7792647,126.3614828
,36.8658171,126.4438251
,36.8641963,126.4462887
풍전생태통로,36.7678392,126.4220719
서해안선 243.45k(운산터널),36.7621289,126.5709542
신성리 1번,36.3199354,126.8928851
서천공주선 25.70k,36.2637481,126.8037572
초락도리 생태통로,36.994618,126.4986203
초락생태통로,37.0044685,126.5269939
거두리 생태통로,37.8696036,127.7769392
당진대전선 1.30k(사기소육교),36.8422254,126.6255203
,36.1487659,127.4638471
당진대전선 68.10k,36.4946423,127.1471004
당진대전선 61.60k(상서육교),36.4868452,127.0797509
,36.4692158,126.9454079
당진대전선 53.60k(영정육교),36.515809,127.0009396
,36.5270398,127.0304809
계룡생태통로,36.3383087,127.2487686
,33.4290741,126.5979178
,33.4734838,126.4097094
덕우리,37.3573769,128.7188975
,33.364338,126.3552026
,33.364338,126.3552026
,33.4034138,126.4508866
,33.4034138,126.4508866
,33.4034138,126.4508866
,33.4288231,126.4133602
,33.3464488,126.4674631
,33.2736617,126.3032467
,33.2588123,126.2885536
,33.3252261,126.5961931
백복령 생태통로,37.5209039,128.9037681
익산장수선 11.40k,35.8814024,127.1858648
정곡,35.7827421,127.4140892
익산장수선 45.60k,35.7749536,127.4696655
신정,35.8135329,127.3455909
서구이재 생태통로,35.6469004,127.4469605
오봉,35.66005,126.941065
입암,35.5187827,126.8289545
우덕 생태통로,35.6293658,126.8365582
육십령 생태통로,35.7228532,127.6596097
무릉고개 생태통로,35.6425335,127.6161712
봉정리 생태이동통로,37.5019304,128.7080385
복성이재 생태통로,35.5281394,127.5630206
중부선 143.42k,35.7800395,127.6122034
소비재 생태통로,35.7617785,127.6335081
장암,35.4623619,127.1492787
숭림사 생태통로,36.07482,126.9125465
용화,36.0135652,127.0829574
호남선 187.90k(원수육교),36.0260162,127.1030611
두여,36.0720412,127.0898727
신교,35.8535705,127.2202995
슬치재 생태통로,35.690393,127.2410552
남곡리 생태이동통로,37.4892559,128.7837852
용암,35.699317,127.2456835
남봉,35.9640307,127.1938652
,35.4246905,127.1005318
,35.3917253,127.1139233
방산_2,35.5257765,126.9428383
방산_1,35.5245254,126.9424458
,35.358666,127.1187433
광주대구선 28.8k,35.3658636,127.1241312
운북리 생태통로(2),35.4731646,127.0398831
운북리 생태통로(1),35.4731646,127.0398831
너그니재 생태이동통로,37.5012745,128.7939119
,35.4262696,127.0975873
덕유산 생태통로,35.9209108,127.757095
덕유산 생태통로,35.9031112,127.791042
거칠봉 생태통로,35.9737327,127.7778098
노루재 생태통로,35.8809422,127.5974832
삼봉산 생태통로,35.8693917,127.82657
삼봉산 생태통로,35.8752431,127.8274059
덕산재 생태통로,35.9402375,127.9015798
고기리 생태통로,35.3670534,127.5129417
용담_1,35.4110713,127.4168312
하추리,38.010778,128.2620252
용담_2,35.4192067,127.4172195
여원재 생태통로,35.448621,127.486696
화수,35.4515121,127.5561502
,35.4781608,127.5606225
순천완주선 49.98k(송내육교),35.3428142,127.3498518
송동 생태통로,35.3526811,127.3219491
정령치1,35.3560402,127.5294531
광주대구선 52.63k(교룡산터널),35.4229348,127.3624442
광주대구선 41.09k,35.3866283,127.2496272
월봉,35.8821788,126.9529996
원대리,38.0132113,128.2390235
축산1,35.9955947,126.8556099
월명터널,35.9674976,126.6879035
고봉,35.9805679,126.8016919
부귀2생태통로,35.4428916,126.6115672
부귀1생태통로,35.4429573,126.6132808
월곡 생태통로,35.4430304,126.7090159
서봉,35.982826,127.2106738
화순 이양 이양 생태통로,34.8860692,126.9933382
해남 현산 월송 생태통로,34.4163393,126.5976172
무안광주선 16.94k,35.0579011,126.5557292
,37.8624543,128.2199006
무안광주선 16.94k,35.0666814,126.5866006
,35.2991362,126.6769241
장성 북이 사거 생태통로,35.4369205,126.8206894
완도 군외 신학 생태통로,34.3817439,126.6607507
영암순천선 12.64k,34.706863,126.6431174
영암순천선 12.94k,34.7064831,126.6462421
,35.2678177,126.5137742
웅천 생태터널,34.7543234,127.6749469
,34.8466702,127.2261163
,34.7742331,127.1224627
서울양양선 104.86k,37.8624543,128.2199006
영동선 226.94k,37.7316259,128.7814449
영암순천선 66.69k,34.8070163,127.1582438
부흥산 생태통로,34.8106102,126.4422989
무안광주선 21.60k,35.069121,126.6060519
무안광주선 24.90k,35.0769406,126.6389665
나주 공산 상방 생태통로,34.94511,126.6343069
파도,35.1926697,127.5414042
송정,35.192046,127.5568705
죽정,35.276275,127.4161369
,35.318099,127.4261426
용두,35.2038434,127.5027776
,37.8624543,128.2199006
갑산,35.2238085,127.4672495
시암재,35.2859361,127.4792431
대산,35.2405686,127.4473999
,34.9864137,127.5857061
,35.2021904,127.1294333
,35.2119656,127.1286591
상림,34.5814964,127.2479993
사정,34.6733778,127.365833
영암순천선 30.36k(토마육교),34.6798135,126.8287726
,35.2210975,127.1294018
한계령 생태통로,38.1219556,128.3101926
징매이고개 생태통로,37.5470235,126.7081966
원적산길 생태통로,37.5027144,126.6896908
앵고개로생태통로,37.3946747,126.7254404
논현로 생태통로,37.4045528,126.7271144
은봉로 생태통로,37.40616,126.7205877
하늘공원 진입로,35.4949561,129.1113311
하늘공원 진입로_2,35.4774145,129.1329376
부산포항선 55.3k(범서IC),35.6188034,129.2772256
국도14호선,35.5037168,129.2950161
동물이동통로,36.7108052,127.2036149
금대리 생태통로,37.3081745,127.9557217
중동터널,37.5064451,126.8300468
을숙도 생태통로,35.1101747,128.9418859
만덕생태터널,35.2118558,129.0505463
곰내 생태통로,35.3057352,129.1719194
정관예림리 생태통로,35.3294546,129.2033029
,35.3454925,129.1588172
개좌생태터널,35.2471424,129.1403796
연대봉생태터널,35.0248007,128.8200177
,36.28243,127.3891056
,36.3414445,127.4607274
연정재 생태통로,37.1877327,128.3763559
,36.3469643,127.4603486
,36.1115503,128.6786424
무안광주선 37.48k,35.1392129,126.7482738
,35.1363594,126.7174641
대구포항선 56.80k,36.0831091,129.1947242
청서교,35.9767257,129.3394005
상밖산재,36.1761316,128.9798183
갈비재,36.4073627,129.0460804
논골재,36.4837983,129.0611225
대구국토4(화양읍 생태통로),35.6908546,128.7209098
화방재 생태통로,37.1231203,128.7775615
금강송 생태통로,36.9186882,129.1501703
행곡 생태통로,36.9738144,129.3499728
여우목재 생태통로,36.7739289,128.3648506
예천 종산 생태통로,36.6176622,128.4584092
,36.5202924,128.2994906
,36.0365056,128.8401231
대구포항선 33.70k,36.0534816,128.9639158
대구포항선 19.40k,35.9771462,128.8410687
,36.0923909,128.7449548
,36.0964745,128.7459145
동해선 90.30k(잔교육교),38.008828,128.7123318
,36.1040085,128.7496929
대구포항선 27.90k,36.0304111,128.9090416
수로암거,36.9014365,128.4505028
지동육교1,36.8631443,128.7148263
신암육교,36.856977,128.7002078
옥녀봉생태통로,36.8446216,128.467333
,36.7634684,129.1785761
옹천육교,36.6950532,128.7080737
,35.8218477,128.1749982
,35.7868345,128.1432803
,37.9511603,128.6639837
대구국토1(매수1 생태통로),35.9407204,128.2063365
대구국토2(매수2 생태통로),35.9334376,128.1933777
밤티재,36.5861507,127.8818183
용화생태통로,36.594476,127.7978344
중부내륙선 146.90k,36.4273385,128.2133313
청주상주선 62.97k,36.4070355,128.0722717
청주상주선 57.67k,36.4288441,128.0234194
청주상주선 65.85k,36.3934229,128.0966144
청주상주선 59.66k,36.4256986,128.0440756
청주상주선 76.21k,36.3714409,128.1975674
갈천리 5호,37.9085614,128.5047501
청주상주선 70.08k,36.369565,128.1334054
도래기재 생태통로,37.0391463,128.7962481
수로암거,37.0060873,128.9653695
수로암거,37.0060873,128.9653695
수로암거,37.0060873,128.9653695
원형수로,37.0607697,128.9797367
수로암거,37.0607697,128.9797367
유곡육교,36.883088,128.7519417
지동육교2,36.8661163,128.7238994
통로암거,36.9183951,128.975232
갈천리 3호,37.9085554,128.509147
원형수로,36.903431,128.9287765
수로암거,36.8782446,128.935065
원형수로,36.870607,128.9107447
중부내륙선 182.70k,36.7149984,128.1064622
신현육교(병풍육교),36.6550414,128.1310803
,36.6504039,128.036766
버리미기재,36.6876743,127.9544572
,36.2033726,128.0012831
,36.2022391,128.0051466
,36.2025084,128.0070477
갈천리 2호,37.924379,128.4994022
영동선 228.80k,37.7490361,128.7921788
,36.0672535,127.9547158
대구국토3(교리 생태통로),36.2644681,128.3165624
,35.6769917,128.2954401
,35.7996256,128.3694332
,35.8850689,129.2052649
덕암통로,35.678183,128.1728998
상현2통로,35.6328837,128.038074
상현1통로,35.6357865,128.0198376
정양통로,35.5516278,128.1681939
중남통로,35.6435741,127.7054738
갈천리 4호,37.9307325,128.4936059
광주대구선 89.58k,35.5428263,127.6920953
남해선 93.30k,35.2678122,128.2804121
남해선 93.04k,35.2651843,128.2793396
갈사만진입도로3호선 생태이동로,34.9773989,127.8115403
,35.1007123,128.6966726
토월,35.2338931,128.7047178
안민생태교,35.1691458,128.6992875
대원로 66번길,35.2367387,128.6553085
두산볼보로,35.1903079,128.6233607
생태교량,35.1495987,128.5554247
갈천리 1호,37.9356389,128.4934357
구천통로,35.1689699,128.216883
남해선 86.17k,35.2101638,128.2596002
중부선 46.76k,35.1346106,128.1101408
발산통로,35.1368873,128.3529025
남해선 79.20k,35.1814376,128.1964576
쇄목재 생태통로,35.3877952,128.2021051
마쌍통로,35.3816686,128.1118628
낙서 전화 생태통로,35.4934584,128.3774104
가계통로,35.3602726,128.063665
지막생태통로,35.3922951,127.8470837
동해선 110.31k(강현1터널),38.1285491,128.5789553
용성리 B,35.4263736,128.806895
용성리 A,35.4289437,128.806768
,35.5619674,128.9429762
,35.5570801,128.9399363
문의 생태통로,34.9393851,127.906722
임포 생태통로,34.74538,127.8893129
덕신통로,34.9197093,127.8613302
,35.0314336,128.3689824
중부선 28.76k,35.04964,128.2693017
중부선 29.03k,35.0510281,128.2662155
동해선 112.82k(강현2터널),38.150652,128.58493
,35.1014169,128.3589637
임포 생태통로,35.7630244,127.8123299
광주대구선 125.8k,35.7085079,127.9672457
신단생태통로,35.8989061,127.8653581
없음,37.1519823,126.9180273
없음,37.1947664,126.7184731
분천생태통로,37.1941702,126.950844
숙곡,37.262063,126.9030059
송라,37.2709774,126.9062538
없음,37.5225951,127.1783904
동해선 117.93k(노학터널),38.1800924,128.5574969
노채고개,37.9245174,127.3382519
도평1 생태통로,38.0764169,127.3900906
,37.9916752,127.2302305
한북정맥(비득재) 생태축,37.7862931,127.1645948
,37.753442,127.1694552
,37.0785033,127.0917632
,37.0678407,127.0915431
봉서터널,37.850518,126.7952101
덕고개터널,37.9477901,126.8680092
도라산 생태통로,37.9017728,126.6990319
댓재 생태통로,37.3833729,129.0094427
학령2터널,37.7572123,126.7904596
학령1터널,37.7610166,126.7806853
신산터널,37.7787529,126.8538781
장암 생태통로,37.7141827,127.0605889
귀락 생태통로,37.7720725,127.1147239
사패 생태통로,37.7373144,127.0294509
효자봉 생태통로,37.7404246,127.0693436
낙양 생태통로,37.7535456,127.0981372
절토육교,37.3170521,126.9662949
모락산 터널,37.3770907,126.988044
삼척노곡,37.209187,129.337363
동물이동통로,37.3365137,126.9731283
,37.2229754,127.1710476
곱든고개 생태통로,37.1817167,127.2837217
,37.1498984,127.3546232
,37.2480336,127.2560485
,38.0686187,127.1279424
현암,37.3224969,127.6303758
현암생태통로,37.3144714,127.6321189
천남,37.3296282,127.6314022
중부내륙선 263.20k,37.2137333,127.6054566
동해선 16.60k(지흥터널),37.5002429,129.091346
신복1 생태통로,37.561333,127.469229
청계산 생태통로,37.5702142,127.390219
,37.7249478,126.9908756
천보산 어하고개 생태통로,37.8103293,127.119067
,37.781171,127.0213141
,37.8321275,126.9383553
고암 생태통로,37.8268142,127.0737287
평택제천선 27.40k,37.0212698,127.1702517
녹박재,37.0678365,127.3787052
진촌,37.0652187,127.3734741
제진1 생태통로,38.5588965,128.4016593
평택제천선 35.10k(갈전육교),36.9802548,127.2390424
평택제천선 34.90k,36.9823744,127.2365867
마유로 생태 연결통로,37.3782129,126.7728306
황고개,37.375061,126.7890619
범배산 생태 연결통로,37.383987,126.8116783
계수터널 생태연결통로,37.4456493,126.8242169
하늘소다리,37.2912876,127.0642819
무지개다리,37.2878214,127.0641849
꽃더미다리,37.280769,127.0686821
새터다리,37.2828149,127.0737606
원암～천진 개착식터널,38.216199,128.5057143
동해선 67.70k(석교육교),37.6872235,128.9167072
